doc_id,title,brand,category,price,rating,features,ingredients,review_snippets
SAMPLE-001,"EcoShine Steel-Safe Stainless Steel Cleaner Spray 16 oz",EcoShine,"Household Cleaning > Stainless Steel",12.49,4.6,"Plant-based streak-free formula for appliances; safe on brushed and polished stainless steel; biodegradable; fresh citrus scent","Plant-based surfactants, citric acid, coconut-derived cleaning agents, purified water","Leaves zero streaks on my fridge | Smells great and no chemical residue | Best eco cleaner I have tried"
SAMPLE-013,"TileTitan Mold & Mildew Remover 32 oz",TileTitan,"Household Cleaning > Bathroom",12.99,4.5,"Bleach-based mold and mildew stain remover; fast acting; ventilate while using","Sodium hypochlorite, surfactants, water","Killed the shower mildew overnight | Strong bleach smell use the fan"
SAMPLE-014,"SqueakyClean Dish Soap Free & Clear 25 oz",SqueakyClean,"Household Cleaning > Dish",4.99,4.3,"Fragrance-free dish soap; tough on grease gentle on hands; biodegradable","Plant-based surfactants, glycerin","Great for sensitive skin | Suds last through a big pile of dishes"
SAMPLE-015,"GreenSuds Eco Dish Liquid Citrus 2 x 16 oz",GreenSuds,"Household Cleaning > Dish",10.49,4.6,"Twin pack; plant-based; phosphate-free; certified biodegradable formula","Coconut-derived surfactants, citrus oil, sea salt","Cuts grease as well as the big brands | Love the twin pack value"
SAMPLE-016,"FloorGlow Hardwood Floor Cleaner 32 oz",FloorGlow,"Household Cleaning > Floor",11.99,4.4,"No-rinse hardwood formula; residue-free shine; safe for sealed wood","Water, plant-derived solvents, acrylic polish","Floors look brand new | No sticky residue"
SAMPLE-017,"EcoMop Concentrated Floor Cleaner 1 l",EcoMop,"Household Cleaning > Floor",14.75,4.1,"Concentrate for all hard floors; biodegradable; makes 30 buckets; plant-based","Plant-based surfactants, essential oil blend","One bottle lasts months | Faint natural scent"
SAMPLE-018,"SteelMate Stainless Steel Cleaner & Conditioner 16 oz",SteelMate,"Household Cleaning > Stainless Steel",13.49,4.5,"Two-in-one cleaner and conditioner; water-based; low odor; streak-free","Water-based cleaning agents, conditioning oils","Conditioner step really works | Low odor is a plus"
SAMPLE-019,"NaturaBright Granite & Stone Cleaner 24 oz",NaturaBright,"Household Cleaning > Stone",10.99,4.4,"pH-balanced for granite marble and quartz; plant-based; streak-free","pH-neutral plant surfactants, purified water","Safe on my marble island | Nice matte finish no film"
SAMPLE-020,"OvenHero Heavy Duty Oven & Grill Cleaner 19 oz",OvenHero,"Household Cleaning > Kitchen",8.49,4.2,"Fume-free overnight oven cleaner; dissolves baked-on carbon","Alkaline gel, surfactants","Baked-on mess wiped right off | Wear gloves"
SAMPLE-021,"FreshLoo Toilet Bowl Cleaner Eco Gel 24 oz",FreshLoo,"Household Cleaning > Bathroom",6.75,4.0,"Thick plant-based gel; clings under the rim; septic-safe; mint scent","Citric acid, plant-based gel, mint oil","No harsh fumes | Takes a bit longer than bleach gels"
SAMPLE-022,"MetalMagic Stainless Steel Scratch Remover Kit",MetalMagic,"Household Cleaning > Stainless Steel",24.99,4.3,"Three-grit pad kit removes fine scratches from brushed stainless; includes finishing oil","Abrasive pads, finishing mineral oil","Saved my dishwasher door | Follow the grain carefully"
SAMPLE-023,"HerbalHome Vinegar Power All-Purpose 32 oz",HerbalHome,"Household Cleaning > All-Purpose",7.25,3.9,"Cleaning-vinegar base; natural; descales faucets; not for natural stone","Cleaning vinegar 6%, herbal extract, water","Great descaler | Vinegar smell fades quickly"
SAMPLE-024,"ProSteel Commercial Stainless Cleaner 1 gal",ProSteel,"Household Cleaning > Stainless Steel",39.99,4.7,"Commercial gallon size for kitchens; concentrated; industrial strength","Solvent blend, surfactants, corrosion inhibitor","Our cafe runs on this | Overkill for home use"
